Date,AAPL,JPM,JNJ,XOM,PG,CAT,NEE,AMZN,LIN,PLD
2019-03-13,1.4175951066491892,0.927125331358989,0.6923288286864961,0.8507599844144422,0.42524052580404537,1.5564259212731701,0.18437709033148966,1.8293540501983103,0.8681407128111702,0.6240846890615994
2019-03-14,1.4169463599440175,0.9253150937175968,0.6969351773904101,0.8497665637367071,0.42517990611216333,1.5575608857106134,0.1849081166692427,1.8306301877157256,0.8682935630864753,0.6242084621551754
2019-03-15,1.4178906262278472,0.9253885065441348,0.6931316536083995,0.8464095477107608,0.42489119615141985,1.5552017596040755,0.18970125033095328,1.8344526319519108,0.8668205667173159,0.6249925892525059
2019-03-18,1.4186112965943138,0.9258990623315493,0.6925423369874774,0.8479041218455383,0.42310821947638955,1.5564887751372953,0.18922727540333648,1.8356959305268352,0.8644518267142762,0.6232268969542221
2019-03-19,1.4190724855430055,0.9259125224673294,0.6922369934828391,0.8474899392188587,0.4229590699792765,1.5558737917915353,0.188360681442078,1.8361711291112155,0.8651570218740353,0.6230302891430288
2019-03-20,1.4201196276992891,0.9312577939771906,0.6840475174524684,0.8458401769897914,0.4236895253804323,1.5535518943364668,0.18473068056130199,1.8379070333832908,0.8521864872180177,0.6223983693839144
2019-03-21,1.428908370567651,0.9208331320434077,0.6830234169208133,0.8444570961748032,0.4247336775970495,1.5495966674166115,0.18787557752993236,1.8334242968103878,0.844481810181963,0.6258799276864415
2019-03-22,1.4229151541760379,0.9300250275748091,0.6800874183875946,0.8459411699730323,0.42435341025246054,1.5521586286861058,0.1780098305718994,1.8301566583612683,0.8558786089907958,0.6265412395048866
2019-03-25,1.4444678718042891,0.9126796881294885,0.6681204375001106,0.8466218414781649,0.42552888845277675,1.534291633235926,0.1929013392220421,1.8519847520665076,0.8399816143673058,0.627109061478428
2019-03-26,1.4446013211501076,0.9077215007991308,0.6670933071053775,0.8560913817153076,0.42814225708745485,1.5450640801657853,0.1844510034486007,1.8553163069605378,0.8336939512613528,0.6190381401435616
2019-03-27,1.432661131578678,0.9002039724488491,0.6665006272926777,0.8660506423833505,0.4351211257526135,1.5525342278553997,0.17867334341201577,1.8669837741611968,0.8328746308094679,0.6189270796347291
2019-03-28,1.4313189585513002,0.8988889118036804,0.673395599605987,0.8739236933615043,0.45323636357604846,1.5622687010187337,0.18396205533680193,1.862401687274829,0.835829596937846,0.6364280557834803
2019-03-29,1.4294941115674649,0.8989614707110115,0.6743250027385834,0.8711701401999128,0.4552337705488582,1.5648684759943359,0.1850543001116568,1.854897072421117,0.8359594626374423,0.6357834129995262
